Date	OR	Odor	Concentration	NormalizedLuc
102409	1108	1297	0	0.36179
102409	1089	1297	0	0.73024
102409	1057	1297	0	0.42195
102409	1073	1299	0	0.78604
102409	1067	1299	0	2.2236
102409	1069	1299	0	0.84323
102409	1115	1299	0	0.56178
102409	1034	1299	0	0.46766
102409	1038	1299	0	0.69944
102409	1039	1299	0	0.44216
102409	1108	1299	0	0.30895
102409	1037	1293	0	0.61176
102409	1067	1300	0	1.8011
102409	1024	1300	0	0.50678
102409	1115	1300	0	0.64324
102409	1069	1296	0	0.67903
102409	1101	1296	0	0.35211
102409	1085	1296	0	0.49333
102409	1046	1296	0	0.40831
102409	1054	1298	0	0.68848
102409	1073	1301	0	0.6399
102409	1067	1301	0	1.2769
102409	1024	1301	0	0.40197
102409	1046	1301	0	0.46115
102409	1067	1302	0	1.2547
102409	1073	1302	0	0.69543
102509	1115	1292	0	0.73662
102509	1067	1292	0	4.7103
102509	1073	1292	0	1.1539
102509	1046	1292	0	0.60208
102509	1054	1292	0	1.2171
102509	1055	1292	0	0.64238
102509	1031	1292	0	0.69494
102509	1063	1292	0	0.44684
102509	1067	1294	0	4.86
102509	1100	1294	0	0.71151
102509	1037	1294	0	0.9845
102509	1089	1294	0	0.98094
102509	1080	1294	0	0.79487
102509	1085	1294	0	1.0231
102509	1069	1294	0	1.1323
102509	1055	1294	0	0.61911
102509	1222	1295	0	0.34537
102509	1205	1295	0	2.2904
102509	1185	1295	0	0.5174
102509	1230	1295	0	0.66757
102509	1219	1295	0	0.57521
102509	1206	1295	0	0.65717
102509	1135	1295	0	0.47692
102509	11022	1295	0	0.66294
102509	1183	1296	0	0.65796
102509	1228	1296	0	0.64048
102509	1208	1296	0	0.50742
102509	1229	1296	0	0.52736
102509	1224	1296	0	0.53261
102509	1230	1296	0	0.66183
102509	1194	1296	0	0.74898
102509	1185	1296	0	0.51467
102509	1156	1297	0	0.43909
102509	1155	1297	0	0.64543
102509	1154	1297	0	0.8002
102509	1157	1297	0	0.59395
102509	1149	1297	0	0.53547
102509	1150	1297	0	0.62933
102509	1220	1297	0	0.43483
102509	1151	1297	0	0.51526
102509	1205	1298	0	2.7363
102509	1166	1298	0	0.79109
102509	1193	1298	0	0.69427
102509	1174	1298	0	0.77338
102509	1141	1298	0	0.4378
102509	1224	1294	0	0.7536
102509	1230	1294	0	0.77558
102509	1205	1294	0	2.5457
102509	1174	1299	0	0.5224
102509	1133	1299	0	0.7426
102509	1227	1299	0	0.46731
102509	1202	1299	0	0.64441
102509	1141	1299	0	0.45923
102509	1192	1302	0	0.55491
102509	1205	1302	0	2.4678
102509	1224	1302	0	0.62148
102509	1230	1292	0	0.46306
102509	1227	1292	0	0.39189
102509	1202	1292	0	0.85397
102509	1215	1292	0	0.54541
102509	1220	1292	0	0.55457
102509	1231	1292	0	0.67881
102509	1156	1301	0	0.60479
103109	1287	1299	0	0.54507
103109	1288	1299	0	0.59744
103109	1269	1299	0	0.30499
103109	1281	1299	0	0.52258
103109	1329	1299	0	0.74623
